datid,datname,pid,usesysid,usename,application_name,client_addr,client_hostname,client_port,backend_start,xact_start,query_start,state_change,wait_event_type,wait_event,state,backend_xid,backend_xmin,query,backend_type
,,61,,,,,,,4/18/20 14:01,,,,Activity,AutoVacuumMain,,,,,autovacuum launcher
,,63,10,postgres,,,,,4/18/20 14:01,,,,Activity,LogicalLauncherMain,,,,,logical replication launcher
13408,postgres,64,10,postgres,DBeaver 7.0.2 - Main <postgres>,172.27.0.1,,37632,4/18/20 14:01,4/18/20 14:31,4/18/20 14:31,4/18/20 14:31,,,active,,492,SELECT * FROM pg_catalog.pg_stat_activity,client backend
13408,postgres,65,10,postgres,DBeaver 7.0.2 - Metadata <postgres>,172.27.0.1,,37634,4/18/20 14:01,,4/18/20 14:02,4/18/20 14:02,Client,ClientRead,idle,,,"SELECT i.*,c.relnamespace FROM pg_catalog.pg_inherits i,pg_catalog.pg_class c WHERE i.inhrelid=$1 AND c.oid=i.inhparent ORDER BY i.inhseqno",client backend
13408,postgres,183,10,postgres,,172.27.0.1,,37816,4/18/20 14:30,,4/18/20 14:30,4/18/20 14:30,Client,ClientRead,idle,,,SET CLIENT_ENCODING TO 'UTF8',client backend
13408,postgres,181,10,postgres,,172.27.0.1,,37812,4/18/20 14:30,,4/18/20 14:30,4/18/20 14:30,Client,ClientRead,idle,,,SET CLIENT_ENCODING TO 'UTF8',client backend
13408,postgres,182,10,postgres,,172.27.0.1,,37814,4/18/20 14:30,,4/18/20 14:30,4/18/20 14:30,Client,ClientRead,idle,,,SET CLIENT_ENCODING TO 'UTF8',client backend
13408,postgres,185,10,postgres,,172.27.0.1,,37820,4/18/20 14:30,,4/18/20 14:30,4/18/20 14:30,Client,ClientRead,idle,,,SET CLIENT_ENCODING TO 'UTF8',client backend
13408,postgres,184,10,postgres,,172.27.0.1,,37818,4/18/20 14:30,,4/18/20 14:30,4/18/20 14:30,Client,ClientRead,idle,,,SET CLIENT_ENCODING TO 'UTF8',client backend
13408,postgres,186,10,postgres,,172.27.0.1,,37822,4/18/20 14:30,,4/18/20 14:30,4/18/20 14:30,Client,ClientRead,idle,,,SET CLIENT_ENCODING TO 'UTF8',client backend
13408,postgres,187,10,postgres,,172.27.0.1,,37824,4/18/20 14:30,,4/18/20 14:30,4/18/20 14:30,Client,ClientRead,idle,,,SET CLIENT_ENCODING TO 'UTF8',client backend
13408,postgres,188,10,postgres,,172.27.0.1,,37826,4/18/20 14:30,,4/18/20 14:30,4/18/20 14:30,Client,ClientRead,idle,,,SET CLIENT_ENCODING TO 'UTF8',client backend
13408,postgres,189,10,postgres,,172.27.0.1,,37828,4/18/20 14:30,,4/18/20 14:30,4/18/20 14:30,Client,ClientRead,idle,,,SET CLIENT_ENCODING TO 'UTF8',client backend
13408,postgres,190,10,postgres,,172.27.0.1,,37830,4/18/20 14:30,,4/18/20 14:30,4/18/20 14:30,Client,ClientRead,idle,,,SET CLIENT_ENCODING TO 'UTF8',client backend
13408,postgres,192,10,postgres,,172.27.0.1,,37834,4/18/20 14:30,,4/18/20 14:30,4/18/20 14:30,Client,ClientRead,idle,,,SET CLIENT_ENCODING TO 'UTF8',client backend
